Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile
Export-BBoxConfigTP;Export-BBoxConfigTestingProgram;Export Full BBox Configuration Testing Program;Full_Testing_Program;Full_Testing_Program;Export;Private;Private;Computer;No;Yes;;
Export-BBoxConfig;Export-BBoxConfiguration;Export Full BBox Configuration;Full;Full;Export;Private;Private;Computer;No;Yes;;
Get-BBoxJournal;Get-BBoxJournal;Download BBox Journal (Available in bbox web interface);log.html;https://192.168.1.254/log.html;Download;Private;Private;device-read;No;Yes;Table;Journal
REMOVE-FCLogs;Remove-FolderContent;Remove All files in folder .\logs\*;logs;logs;Remove;Private;Private;Computer;Yes;Yes;;
REMOVE-FCExportCSV;Remove-FolderContent;Remove All files in folder .\Export\CSV\*;Export\CSV;Export\CSV;Remove;Private;Private;Computer;Yes;Yes;;
REMOVE-FCExportJSON;Remove-FolderContent;Remove All files in folder .\Export\JSON\*;Export\JSON;Export\JSON;Remove;Private;Private;Computer;Yes;Yes;;
REMOVE-FCJournal;Remove-FolderContent;Remove All files in folder .\Journal\*;Journal;Journal;Remove;Private;Private;Computer;Yes;Yes;;
REMOVE-FCJBC;Remove-FolderContent;Remove All files in folder .\Json_Bbox_Config\*;Json_Bbox_Config;Json_Bbox_config;Remove;Private;Private;Computer;Yes;Yes;;
REMOVE-FCReport;Remove-FolderContent;Remove All files in folder .\Report\*;Report;Report;Remove;Private;Private;Computer;Yes;Yes;;
SWITCH-DF;Switch-DisplayFormat;Switch Display Format;Switch_Display;Switch_Display;Switch;Private;Private;Computer;Yes;Yes;HTML/Table/Gridview;
SWITCH-EF;Switch-ExportFormat;Switch Export Format;Switch_Export;Switch_Export;Switch;Private;Private;Computer;Yes;Yes;CSV/JSON;
SWITCH-OHR;Switch-OpenHTMLReport;Switch Open HTML Report;Switch_Open_HTML_Report;Switch_Open_HTML_Report;Switch;Private;Private;Computer;Yes;Yes;HTML;
GET-AIRTIES;Get-Airties;Get AIRTIES Summary Information;airties;https://192.168.1.254/api/v1/airties;GET;public;Private;diag-read;No;No;List;airties
GET-AIRTIESL;Get-AirtiesLANmode;Get AIRTIES LAN mode Information;airties/lanmode;https://192.168.1.254/api/v1/airties/lanmode;GET;public;Private;diag-read;No;Yes;List;airties-lanmode
GET-AIRTIESZ;Get-AirtiesZerotouch;Get AIRTIES Zero Touch Information;airties/zerotouch;https://192.168.1.254/api/v1/airties/zerotouch;GET;public;Private;diag-read;No;Yes;list;airties-zerotouch
GET-ANALYTICSJS;Get-ANALYTICSJS;Get Bouygues Telecom Remote Connexion Page information;analytics.js;https://192.168.1.254/api/v1/analytics.js;GET;public;Private;lan-read;No;No;;analytics
GET-APIRM;Get-APIRessourcesMap;Get API Ressources List Map Information;map;https://192.168.1.254/api/v1/map;GET;private;Private;lan-read;No;Yes;Table;map
GET-CONFIGSL;Get-BackupList;Get BACKUP List Information;configs;https://192.168.1.254/api/v1/configs;GET;public;Private;backup-read;No;Yes;Table;configs
GET-CPL;Get-CPL;Get CPL Configuration Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;Private;cpl-read;No;Yes;List;cpl
GET-CPLDL;Get-CPLDeviceList;Get CPL Devices List Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;Private;cpl-read;No;Yes;Table;cpl-devices-list
GET-DEVICE;Get-Device;Get DEVICE Global Information;device;https://192.168.1.254/api/v1/device;GET;public;Private;device-read;No;Yes;List;device
GET-DEVICEC;Get-DeviceCPU;Get DEVICE CPU Information;device/cpu;https://192.168.1.254/api/v1/device/cpu;GET;public;Private;device-read;No;Yes;List;device-cpu
GET-DEVICELOG;Get-DeviceLog;Get DEVICE Log Information (Only Last 1000 Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;Private;device-read;No;Yes;Table;device-log1000
GET-DEVICELOGID;Get-DeviceLogID;Get DEVICE Log Information by page;device/log;https://192.168.1.254/api/v1/device/log/{ID};GET;private;Private;device-read;No;No;Table;device-log-page
GET-DEVICEFLOG;Get-DeviceFullLog;Get DEVICE Full Log Information (All Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;Private;device-read;No;Yes;Table;device-log-standard
GET-DEVICEFTLOG;Get-DeviceFullTechnicalLog;Get DEVICE Full Log Technical Information (All Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;Private;device-read;No;Yes;Table;device-log-technic
GET-DEVICELED;Get-DeviceLED;Get DEVICE LED Information;device/led;https://192.168.1.254/api/v1/device/led;GET;public;Private;device-read;No;Yes;List;device-led
GET-DEVICEM;Get-DeviceMemory;Get DEVICE Memory Information;device/mem;https://192.168.1.254/api/v1/device/mem;GET;public;Private;device-read;No;Yes;List;device-mem
GET-DEVICES;Get-DeviceSummary;Get DEVICE Main Information;device/summary;https://192.168.1.254/api/v1/device/summary;GET;public;Private;device-read;No;Yes;List;device-summary
GET-DEVICET;Get-DeviceToken;Get DEVICE Token Information;device/token;https://192.168.1.254/api/v1/device/token;GET;private;Private;any;No;Yes;List;device-token
GET-DEVICEU;Get-DeviceUpgrade;Get DEVICE Upgrade Information;device/upgrade;https://192.168.1.254/api/v1/device/upgrade;GET;private;Private;bboxdebug;No;No;;device-upgrade
