Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-BoxJournal;Get-BoxJournal;Download Box Journal (Available in Box web interface);log.html;https://192.168.1.254/log.html;Download;private;private;device-read;No;Yes;Table;Journal;22.3.22
GET-AIRTIES;Get-Airties;Get AIRTIES Information;airties;https://192.168.1.254/api/v1/airties;GET;public;private;diag-read;no;No;List;airties;22.3.22
GET-AIRTIESL;Get-AirtiesLANmode;Get AIRTIES LAN mode Information;airties/lanmode;https://192.168.1.254/api/v1/airties/lanmode;GET;public;private;diag-read;No;No;List;airties-lanmode;22.3.22
GET-AIRTIESZ;Get-AirtiesZerotouch;Get AIRTIES Zero Touch Information;airties/zerotouch;https://192.168.1.254/api/v1/airties/zerotouch;GET;public;private;diag-read;No;No;list;airties-zerotouch;22.3.22
GET-ANALYTICSJS;Get-ANALYTICSJS;Get Bouygues Telecom Remote Connexion Page information;analytics.js;https://192.168.1.254/api/v1/analytics.js;GET;public;private;lan-read;No;No;$null;analytics;22.3.22
GET-APIRM;Get-APIRessourcesMap;Get API Ressources List Map Information;map;https://192.168.1.254/api/v1/map;GET;private;private;lan-read;No;Yes;Table;map;22.3.22
GET-CONFIGSL;Get-BackupList;Get BACKUP List Information;configs;https://192.168.1.254/api/v1/configs;GET;public;private;backup-read;No;Yes;Table;configs;22.3.22
GET-CPL;Get-CPL;Get CPL Configuration Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;private;cpl-read;No;Yes;List;cpl;22.3.22
GET-CPLDL;Get-CPLDeviceList;Get CPL Devices List Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;private;cpl-read;No;Yes;Table;cpl-devices-list;22.3.22
GET-DEVICE;Get-Device;Get DEVICE Global Information;device;https://192.168.1.254/api/v1/device;GET;public;private;device-read;No;Yes;List;device;22.3.22
GET-DEVICEC;Get-DeviceCPU;Get DEVICE CPU Information;device/cpu;https://192.168.1.254/api/v1/device/cpu;GET;public;private;device-read;No;Yes;List;device-cpu;22.3.22
GET-DEVICELOG;Get-DeviceLog;Get DEVICE Log Information (Only Last 1000 Events);device/log;device/log;GET;private;private;device-read;No;Yes;Table;device-log1000;22.3.22
GET-DEVICELOGID;Get-DeviceLogID;Get DEVICE Log Information by page;device/log;https://192.168.1.254/api/v1/device/log/{ID};GET;private;private;device-read;No;No;Table;device-log-page;22.3.22
GET-DEVICEFLOG;Get-DeviceFullLog;Get DEVICE Full Log Information (All Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;private;device-read;No;Yes;Table;device-log-standard;22.3.22
GET-DEVICEFTLOG;Get-DeviceFullTechnicalLog;Get DEVICE Full Log Technical Information (All Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;private;device-read;No;Yes;Table;device-log-technic;22.3.22
GET-DEVICECHLOG;Get-DeviceConnectionHistoryLog;Get DEVICE Full Log Devices Connection History;device/log;https://192.168.1.254/api/v1/device/log;GET;private;private;device-read;No;Yes;Table;device-log-connexion;22.3.23
GET-DEVICECHLOGID;Get-DeviceConnectionHistoryLogID;Get DEVICE Full Log Devices Connection History by ID;device/log;https://192.168.1.254/api/v1/device/log;GET;private;private;device-read;No;Yes;Table;device-log-connexion-id;22.3.23
GET-DEVICELED;Get-DeviceLED;Get DEVICE LED Information;device/led;https://192.168.1.254/api/v1/device/led;GET;public;private;device-read;No;Yes;List;device-led;22.3.22
GET-DEVICEM;Get-DeviceMemory;Get DEVICE Memory Information;device/mem;https://192.168.1.254/api/v1/device/mem;GET;public;private;device-read;No;Yes;List;device-mem;22.3.22
GET-DEVICES;Get-DeviceSummary;Get DEVICE Main Information;device/summary;https://192.168.1.254/api/v1/device/summary;GET;private;private;device-read;No;Yes;List;device-summary;22.3.22
GET-DEVICET;Get-DeviceToken;Get DEVICE Token Information;device/token;https://192.168.1.254/api/v1/device/token;GET;private;private;any;No;Yes;List;device-token;22.3.22
GET-DEVICEU;Get-DeviceUpgrade;Get DEVICE Upgrade Information;device/upgrade;https://192.168.1.254/api/v1/device/upgrade;GET;private;private;boxdebug;No;No;$null;device-upgrade;22.3.22
GET-DEVICEUSBD;Get-DeviceUSBDevices;Get DEVICE USB Devices Information;device/usb;https://192.168.1.254/api/v1/device/usb;GET;public;private;device-read;No;Yes;Table;device-usb;22.3.22
GET-DEVICEUSBP;Get-DeviceUSBPrinter;Get DEVICE USB Printer Information;device/printer;https://192.168.1.254/api/v1/device/printer;GET;public;private;device-read;No;Yes;Table;device-printer;22.3.22
GET-DHCP;Get-DHCP;Get DHCP Configuration Information;dhcp;https://192.168.1.254/api/v1/dhcp;GET;public;private;dhcp-read;No;Yes;List;dhcp;22.3.22
GET-DHCPAO;Get-DHCPActiveOptions;Get DHCP Active Options Configuration Information;dhcp/options;https://192.168.1.254/api/v1/dhcp/options;GET;public;private;dhcp-read;No;Yes;Table;dhcp-options-active;22.3.22
GET-DHCPO;Get-DHCPOptions;Get DHCP Options Information;dhcp/options;https://192.168.1.254/api/v1/dhcp/options;GET;public;private;dhcp-read;No;Yes;Table;dhcp-options;22.3.22
GET-DHCPOID;Get-DHCPOptionsID;Get DHCP Options Information by ID;dhcp/options;https://192.168.1.254/api/v1/dhcp/options/{ID};GET;public;private;dhcp-read;No;Yes;List;dhcp-options-id;22.3.22
GET-DHCPC;Get-DHCPClients;Get DHCP Client Configuration Information;dhcp/clients;https://192.168.1.254/api/v1/dhcp/clients;GET;public;private;dhcp-read;No;Yes;Table;dhcp-clients;22.3.22
GET-DHCPCID;Get-DHCPClientsID;Get DHCP Clients Configuration Information by ID;dhcp/clients;https://192.168.1.254/api/v1/dhcp/clients/{ID};GET;public;private;dhcp-read;No;Yes;List;dhcp-clients-id;22.3.22
GET-DHCPSTBO;Get-DHCPSTBOptions;Get DHCP STB Options Information;dhcp/stb/options;https://192.168.1.254/api/v1/dhcp/stb/options;GET;private;private;dhcp-read;No;Yes;Table;dhcp-stb-options;22.3.22
GET-DHCPv6O;Get-DHCPv6Options;Get DHCP V6 Options Information;dhcp6/options;https://192.168.1.254/api/v1/dhcp6/options;GET;public;private;dhcp-read;No;Yes;Table;dhcp6-options;22.3.22
GET-DHCPv6PFD;Get-DHCPv6PrefixDelegation;Get-DHCP V6 Prefix Delegation Configuration Information;dhcp6/prefixdelegation;https://192.168.1.254/api/v1/dhcp6/prefixdelegation;GET;public;private;dhcp-read;No;Yes;List;dhcp6-prefixdelegation;22.3.22
GET-DNSS;Get-DNSStats;Get DNS Stats Information;dns/stats;https://192.168.1.254/api/v1/dns/stats;GET;public;private;lan-read;No;Yes;List;dns-stats;22.3.22
GET-DYNDNS;Get-DYNDNS;Get DYNDNS Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;private;dyndns-read;No;Yes;List;dyndns-config;22.3.22
GET-DYNDNSPL;Get-DYNDNSProviderList;Get DYNDNS Provider List Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;private;dyndns-read;No;Yes;Table;dyndns-provider;22.3.22
