Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
SHOW-BBOXRC;Show-BBOXReferentialContact;Show Referential Contact for BBox;Show-ReferentialContact;Show-ReferentialContact;GET;Computer;Computer;Program;No;Yes;Table;Show-Known-Phone-Number;Custom
ADD-BBOXNewRC;Add-BBOXNewReferentialContact;Add New Referential Contact for BBox;Add-NewReferentialContact;Add-NewReferentialContact;Add;Computer;Computer;Program;No;Yes;Table;Add-Known-Phone-Number;Custom
REMOVE-BBOXRC;Remove-BBOXReferentialContact;Remove Referential Contact for Bbox;Remove-ReferentialContact;Remove-ReferentialContact;Remove;Computer;Computer;Program;No;Yes;Table;Remove-Known-Phone-Number;Custom
GET-BBOXBoxJournal;Get-BBOXBoxJournal;Download Box Journal (Available in Box web interface);log.html;https://192.168.1.254/log.html;Download;private;private;device-read;No;Yes;Table;Journal;22.3.22
GET-BBOXAIRTIES;Get-BBOXAirties;Get AIRTIES Information;airties;https://192.168.1.254/api/v1/airties;GET;public;private;diag-read;No;No;List;airties;22.3.22
GET-BBOXAIRTIESL;Get-BBOXAirtiesLANmode;Get AIRTIES LAN mode Information;airties/lanmode;https://192.168.1.254/api/v1/airties/lanmode;GET;public;private;diag-read;No;No;List;airties-lanmode;22.3.22
GET-BBOXAIRTIESZ;Get-BBOXAirtiesZerotouch;Get AIRTIES Zero Touch Information;airties/zerotouch;https://192.168.1.254/api/v1/airties/zerotouch;GET;public;private;diag-read;No;No;list;airties-zerotouch;22.3.22
GET-BBOXANALYTICSJS;Get-BBOXANALYTICSJS;Get Bouygues Telecom Remote Connexion Page information;analytics.js;https://192.168.1.254/api/v1/analytics.js;GET;public;private;lan-read;No;No;$null;analytics;22.3.22
GET-BBOXAPIRM;Get-BBOXAPIRessourcesMap;Get API Ressources List Map Information;map;https://192.168.1.254/api/v1/map;GET;private;private;lan-read;No;Yes;Table;map;22.3.22
GET-BBOXCONFIGSL;Get-BBOXBackupList;Get BACKUP List Information;configs;https://192.168.1.254/api/v1/configs;GET;public;private;backup-read;No;Yes;Table;configs;22.3.22
GET-BBOXCPL;Get-BBOXCPL;Get CPL Configuration Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;private;cpl-read;No;Yes;List;cpl;22.3.22
GET-BBOXCPLDL;Get-BBOXCPLDeviceList;Get CPL Devices List Information;cpl;https://192.168.1.254/api/v1/cpl;GET;public;private;cpl-read;No;Yes;Table;cpl-devices-list;22.3.22
GET-BBOXDEVICE;Get-BBOXDevice;Get DEVICE Global Information;device;https://192.168.1.254/api/v1/device;GET;public;private;device-read;No;Yes;List;device;22.3.22
GET-BBOXDEVICEC;Get-BBOXDeviceCPU;Get DEVICE CPU Information;device/cpu;https://192.168.1.254/api/v1/device/cpu;GET;public;private;device-read;No;Yes;List;device-cpu;22.3.22
GET-BBOXDEVICELOG;Get-BBOXDeviceLog;Get DEVICE Log Information (Only Last 1000 Events);device/log;https://192.168.1.254/api/v1/device/log;GET;private;private;device-read;No;Yes;Table;device-log1000;22.3.22
