Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-APIV;Get-APIVersion;Get API Version Configuration;Api_Version; https://mafreebox.freebox.fr/api/v4/api_version;Get;Public;Public;;No;No;List;Api_Version;
Login;Login;Login;Login; https://mafreebox.freebox.fr/api/v4/login;Login;Public;Public;;Yes;No;List;Login;
Login-Authorize;Login-Authorize;Login Authorize;Login_Authorize; https://mafreebox.freebox.fr/api/v4/login/authorize;Post;Public;Public;;Yes;No;List;Login_authorize;
Login-AuthorizeId;Login-AuthorizeId;Login Authorize ID;Login_Authorize_id; https://mafreebox.freebox.fr/api/v4/login/authorize/id;Get;Public;Public;;No;No;List;Login_authorize_id;
Login-Session;Login-Session;Login Session;Login_Session; https://mafreebox.freebox.fr/api/v4/login/Session;Post;Public;Public;;Yes;No;List;Login_Session;
Login-Logout;Login-Logout;Login Logout;Login_Logout; https://mafreebox.freebox.fr/api/v4/login/logout;Post;Public;Public;;Yes;No;List;Login_Logout;
Get-APIVersion;Get-APIVersion;Get API Summary Version Information;api_version/;https://mafreebox.freebox.fr/api/v4/api_version;Get;public;Private;api_version-read;No;Yes;List;api-version;
Get-Contact;Get-Contact;Get Contacts Information;contact/;https://mafreebox.freebox.fr/api/v4/contact;Get;Private;Private;contact-read;No;Yes;Table;contact;
Get-Calllog;Get-Calllog;Get Call Log Information;call/log/;https://mafreebox.freebox.fr/api/v4/call/log/;Get;Private;Private;call_log-read;No;Yes;Table;call-log;
;;Returns the collection of all Download tasks;;https://mafreebox.freebox.fr/api/v4/downloads/;Get;Private;Private;;No;Yes;Table;Downloads;
;;Updates the Download task with the given id;; https://mafreebox.freebox.fr/api/v4/downloads/id;Put;Private;Private;;Yes;No;List;Downloads_id;
;;Returns the Download task with the given id;;https://mafreebox.freebox.fr/api/v4/downloads/id;Get;Private;Private;;No;Yes;Table;Downloads_id;
;;Deletes the Download task with the given id, without erasing the downloaded files If the task was not done it is stopped;; https://mafreebox.freebox.fr/api/v4/downloads/id;Delete;Private;Private;;No;No;List;Downloads_Delete;
;;Deletes the Download task with the given id, with erasing the downloaded files If the task was not done it is stopped;; https://mafreebox.freebox.fr/api/v4/downloads/id/erase;Delete;Private;Private;;No;No;List;Downloads_Delete_Files;
;;Get the log with the given id;;https://mafreebox.freebox.fr/api/v4/downloads/id/log;Get;Private;Private;;No;Yes;Table;Downloads_Log;
;;Add new download files as single or as list by Url(s) (http://, ftp://, magnet:);; https://mafreebox.freebox.fr/api/v4/downloads/add;Post;Private;Private;;Yes;No;List;Downloads_By_Urls;
;;Add new download files as single or as list by Extension files (.torrent, .nzb);; https://mafreebox.freebox.fr/api/v4/downloads/add;Post;Private;Private;;Yes;No;List;Downloads_By_Extention_Files;
;;Get downloads statistics;;https://mafreebox.freebox.fr/api/v4/downloads/stats/;Get;Private;Private;;No;Yes;Table;Downloads_Statistics;
;;Get the list of Download files for a given Task ID;;https://mafreebox.freebox.fr/api/v4/downloads/task_id/files;Get;Private;Private;;No;Yes;Table;Downloads_By_Task_ID_Files;
;;Get the list of Download files for a given Task ID and by File ID;;https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/files/{file_id};Get;Private;Private;;No;Yes;Table;Downloads_By_Task_ID_By_File_ID;
;;Get the list of Download trackers;;https://mafreebox.freebox.fr/api/v4/downloads/trackers;Get;Private;Private;;No;Yes;Table;Downloads_Trackers;
;;Get the list of Download trackers for a given Task ID;;https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/trackers;Get;Private;Private;;No;Yes;Table;Downloads_Trackers_By_ID;
;;Add a new tracker;; https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/trackers;Post;Private;Private;;Yes;No;Table;Downloads_Trackers_By_ID;
;;Remove a tracker;; https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/trackers/{announce};Delete;Private;Private;;Yes;No;Table;Downloads_Trackers_By_ID_Announce;
;;Update a tracker;; https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/trackers/{announce};Put;Private;Private;;Yes;No;Table;Downloads_Trackers_By_ID_Announce;
;;Get the list of peers;;https://mafreebox.freebox.fr/api/v4/downloads/peers;Get;Private;Private;;No;Yes;Table;Downloads_Peers;
;;Get the list of peers Download entries for a given by Task  ID;;https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/peers;Get;Private;Private;;No;Yes;Table;Downloads_Peers_By_ID;
;;Get the list of pieces;;https://mafreebox.freebox.fr/api/v4/downloads/pieces;Get;Private;Private;;No;Yes;Table;Downloads_Pieces;
;;Get the list of pieces Download entries for a given by Task  ID;;https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/pieces;Get;Private;Private;;No;Yes;Table;Downloads_By_Task_ID_Pieces;
;;Get the list of blacklist entries;;https://mafreebox.freebox.fr/api/v4/downloads/blacklist;Get;Private;Private;;No;Yes;Table;Downloads_Blacklist;
;;Get the list of blacklist Download entries for a given by Task ID;;https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/blacklist;Get;Private;Private;;No;Yes;Table;Downloads_By_Task_ID_Blacklist;
;;Remove the list of blacklist Download entries for a given by Task ID;; https://mafreebox.freebox.fr/api/v4/downloads/{task_id}/blacklist/empty;Delete;Private;Private;;Yes;No;Table;Downloads_By_Task_ID_Blacklist_Empty;
;;Delete a particular blacklist entry;; https://mafreebox.freebox.fr/api/v4/downloads/blacklist/{host};Delete;Private;Private;;Yes;No;List;Downloads_Blacklist_Host;
;;Add a blacklist entry;; https://mafreebox.freebox.fr/api/v4/downloads/blacklist/{host};Post;Private;Private;;Yes;No;List;Downloads_Blacklist_Host;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{id};Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{id}/fetch;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/fetch;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/{item_id};Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/{item_id}/download;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/mark_all_as_read;Get;Private;Private;;Yes;Yes;List;Null;
